"","gene","logFC","p"
"729","Rv0515",-1.93242456130894,6.41096585440024e-06
"520","Rv0516c",2.42483979894774,1.9697417845776e-06
"1863","Rv0517",-0.436095699454472,0.000987086745946445
"924","Rv0519c",-0.725506123525937,1.67569959916365e-05
"388","Rv0524",-0.891777500933214,7.69129258397786e-07
"999","Rv0525",-0.699966272672651,2.24127572968636e-05
"313","Rv0526",-1.45231341050195,4.90279621317287e-07
"315","Rv0527",-1.62039144130782,5.04270757402414e-07
"178","Rv0528",-1.84344059397894,1.26568367515549e-07
"422","Rv0529",-1.44479196749284,9.61566158000166e-07
"650","Rv0530",-0.750271974922675,4.18938316265255e-06
"633","Rv0530A",1.39924814679047,3.72308447500288e-06
"2660","Rv0532",-0.255160761864611,0.0248068559224357
"1745","Rv0533c",-0.519043498357081,0.000591461293793775
"2606","Rv0534c",-0.304239945174531,0.0194578096349474
"1176","Rv0537c",-0.549135382817749,4.99942471192332e-05
"1839","Rv0538",-0.355578201826421,0.000909975219152421
"1884","Rv0539",-0.694640293562233,0.00105204039240823
"2415","Rv0540",-0.458605963676132,0.00967067865891721
"1258","Rv0541c",-0.921728155439317,7.18006767649494e-05
"130","Rv0542c",-1.98714316166064,4.37944880300639e-08
"1210","Rv0544c",-0.612117513827061,5.90818221466842e-05
"639","Rv0545c",-0.784913591958711,3.92183652038574e-06
"1849","Rv0546c",-0.450343500586085,0.000927372888170143
"250","Rv0547c",-1.31558228256238,3.07713812991037e-07
"2339","Rv0548c",-0.280119618026745,0.00677411570875128
"2151","Rv0549c",0.503472362051123,0.00329593544968296
"981","Rv0550c",1.38961825739372,2.11495486732673e-05
"300","Rv0551c",1.34419618950133,4.46877119457491e-07
"1885","Rv0552",0.466604677966086,0.00105446070008317
"2025","Rv0553",0.580141379695952,0.00211328474823393
"2630","Rv0555",0.459439779939194,0.0217877379043939
"1719","Rv0556",-0.493495265254887,0.000516482304273228
"846","Rv0557",-0.686404653094646,1.25150490010536e-05
"1345","Rv0558",0.582106434350218,0.000110406871982489
"1217","Rv0559c",0.734623770886088,5.9854485481355e-05
"509","Rv0560c",1.56126820925708,1.80385457167499e-06
"1597","Rv0562",-0.395468212403927,0.000338723584270408
"317","Rv0563",1.05114126126965,5.05298269398027e-07
"1385","Rv0564c",0.770488767897612,0.000128943699153696
"2068","Rv0565c",0.439560967194907,0.00248578206166935
"558","Rv0566c",1.01539816345545,2.44776212602665e-06
"1734","Rv0567",-0.48617552432846,0.000554085748122528
"1652","Rv0568",-0.426264591254336,0.000394072765897862
