"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","DE_index"
"Rv2883c",-0.4395894562613,7.92069743392733,-7.13524091363177,4.34123356931566e-05,0.00012304386824564,1.21983989184132,"Rv2883c",52
"Rv2855",1.75923898150395,6.58601224511386,7.13018450161684,4.36612720647887e-05,0.000123659168072629,1.31169270582557,"Rv2855",52
"Rv2671",-0.723391158886482,4.7842292408758,-7.12598312882435,4.38692959284287e-05,0.00012415778140677,1.66645532882677,"Rv2671",52
"Rv0667",-0.502355548143596,10.9492189272321,-7.12177786535031,4.40785937545481e-05,0.000124659271339337,1.21053813377894,"Rv0667",52
"Rv0511",-0.429489355211988,9.57197714189971,-7.11833540679342,4.42507359476294e-05,0.000125055027426962,1.17441434636645,"Rv0511",52
"Rv0456c",1.08989943917176,3.04547695571467,7.11689162192351,4.43231510650039e-05,0.000125168578607571,2.02198228274494,"Rv0456c",52
"Rv0017c",-0.638470049386695,6.76279212077599,-7.1154941112443,4.43933681609578e-05,0.000125275762041424,1.30206320521844,"Rv0017c",52
"Rv2836c",-0.709453419048891,6.34041988532905,-7.11464515668483,4.44360825184821e-05,0.000125305234872379,1.36061791766963,"Rv2836c",52
"Rv0895",-1.17800104188876,3.01967681777184,-7.11231602193028,4.45535007642181e-05,0.000125545169424861,2.08963187578249,"Rv0895",52
"Rv1444c",0.919322007464612,5.52761698247232,7.10025356359873,4.516703394522e-05,0.000127181720673886,1.45249142370375,"Rv1444c",52
"Rv1849",-0.948961189636631,3.32833836879061,-7.09586458307398,4.53925484924778e-05,0.000127724105649486,1.99147580899547,"Rv1849",52
"Rv1976c",0.672548524092845,5.35523910646733,7.0934994095838,4.55145839538391e-05,0.000127974749813727,1.46596538664641,"Rv1976c",52
"RVnc0008",-0.789494230765318,5.98194520815097,-7.09159054466057,4.56133358559832e-05,0.000128140748209778,1.39047411474438,"RVnc0008",52
"Rv3725",0.475189745387191,7.95301617973793,7.09108318158439,4.56396226562254e-05,0.000128140748209778,1.15162471766182,"Rv3725",52
"Rv2612c",-0.840994842000142,5.00977923599728,-7.08551311268038,4.59292985286328e-05,0.000128860885973036,1.57594204878676,"Rv2612c",52
"Rv0564c",0.770488767897612,4.90790691070219,7.08431205520226,4.59920224897939e-05,0.000128943699153696,1.55435148903478,"Rv0564c",52
"Rv1169c",1.25179019897663,2.45142910304101,7.08032958188717,4.62006712250083e-05,0.000129435213828793,2.13130645685297,"Rv1169c",52
"Rv3851",-0.866870844518456,4.45074980210575,-7.07805481472084,4.63203125570726e-05,0.000129676837533607,1.68495103398979,"Rv3851",52
"Rv2378c",-0.900914589714693,4.50829166757135,-7.07595432674635,4.64310872824026e-05,0.000129893308297961,1.67190407671645,"Rv2378c",52
"Rv1794",0.412821072838931,8.27656344630335,7.07164049070492,4.66594942659549e-05,0.000130438312623976,1.11496058153054,"Rv1794",52
"Rv1664",-0.647202579608757,5.39616028509912,-7.06870486870118,4.68156275986778e-05,0.00013073254917865,1.45551976212922,"Rv1664",52
"Rv2394",0.445060908911659,8.60932644225339,7.06839610650999,4.68320823866861e-05,0.00013073254917865,1.10512116144615,"Rv2394",52
"Rv0288",0.552065291696987,8.57024359715665,7.055250481833,4.75385237091174e-05,0.000132609258306396,1.08937152297218,"Rv0288",52
"Rv0926c",0.597423175095842,5.25797208450388,7.05240612303241,4.76929002778288e-05,0.000132922117591607,1.43905768215549,"Rv0926c",52
"Rv0370c",-1.83676435858349,1.55397883407126,-7.05192360439916,4.77191429108166e-05,0.000132922117591607,2.30398302611505,"Rv0370c",52
"Rv1205",0.54060333636779,6.05594750987991,7.0453537334904,4.80780255476501e-05,0.000133732731505237,1.29751830552697,"Rv1205",52
"Rv1833c",0.686721469533564,5.10454748334974,7.04533532807434,4.80790350711593e-05,0.000133732731505237,1.45495419448855,"Rv1833c",52
"Rv1543",0.569527492838774,7.61393923953075,7.03974541826437,4.83867079601561e-05,0.000134492188267206,1.11243843769525,"Rv1543",52
"Rv0312",-0.529618282814648,6.76633960633783,-7.03467031180895,4.86679026730655e-05,0.000135177014363028,1.20089333707794,"Rv0312",52
"Rv0492c",1.03686064035761,5.30848753474162,7.02876075907695,4.89975749404056e-05,0.000135995413505072,1.37723968131515,"Rv0492c",52
"Rv2195",-0.415375727602706,9.11842224268155,-7.02653138371693,4.91225744707143e-05,0.000136244969049846,1.05684880066767,"Rv2195",52
"Rv3631",-0.769714450501697,4.89063687855108,-7.02554521025885,4.91779792355742e-05,0.000136274075460772,1.5234679461498,"Rv3631",52
"Rv3331",0.444672352338564,7.69867391014061,7.02498038963418,4.92097423743978e-05,0.000136274075460772,1.08832499252494,"Rv3331",52
"Rv0699",-1.93002649141381,0.9033212919694,-7.02447195294888,4.92383538170133e-05,0.000136274075460772,2.35770841260656,"Rv0699",52
"Rv1683",-0.433791571377876,8.08401681027602,-7.02074627704875,4.94485634626462e-05,0.00013675838456229,1.07058168240984,"Rv1683",52
"Rv3225c",-0.463095038558171,6.36315290231209,-7.0064878544946,5.0262119814627e-05,0.000138909474192311,1.21526245782544,"Rv3225c",52
"Rv1510",-0.668918746714682,5.08449230421552,-7.00431983677688,5.03870934337217e-05,0.000139155820628123,1.45448480758349,"Rv1510",52
"Rv2407",1.26854527796943,2.85467016962377,6.99911799838832,5.06883306697609e-05,0.000139888264385701,1.94796072481946,"Rv2407",52
"Rv1790",1.11445333578472,2.97970243102527,6.9980532372036,5.07502320946169e-05,0.000139959624448436,1.9056445852193,"Rv1790",52
